Country,Culture,Language,Genre_Album,Year,SampleAudio,CatalogNumber,songurls_Album,Instrument,Distance,Outlier
Kenya,Kamba,Kamba,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR160/ILAMTR160_07.mp3,ILAMTR160_107,http://www.folkways.si.edu/ndunge-wa-kalele-with-kamba-women/kilamu/track/smithsonian,Ensemble leader,34.5944773917,1
Canada,Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08771/FW08771_05.mp3,FW08771_105,http://www.folkways.si.edu/alan-mills/the-southern-cross/world/music/track/smithsonian,Vocals,34.740193537,0
Kenya,Kamba,Kamba,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR160/ILAMTR160_02.mp3,ILAMTR160_102,http://www.folkways.si.edu/munyithya-wa-kyenze/musenga/track/smithsonian,Vocals,19.5571709448,0
Canada,Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08771/FW08771_08.mp3,FW08771_108,http://www.folkways.si.edu/alan-mills/harbour-place/world/music/track/smithsonian,Vocals,31.5504478086,0
Kenya,Kuria,,World,1972.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04223/FW04223_09.mp3,FW04223_109,http://www.folkways.si.edu/male-singers/mens-beer-drinking-song/world/music/track/smithsonian,nan,28.2865696971,0
Kenya,Kamba,Kamba,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR161A/ILAMTR161A_03.mp3,ILAMTR161A_103,http://www.folkways.si.edu/ndulu-wa-ngolanie-with-kamba-children/ngune-nduli-wangola-ekuka/track/smithsonian,Ensemble leader,44.0270863989,1
Canada,French Canadian,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00714/MON00714_08.mp3,MON00714_202,http://www.folkways.si.edu/alexander-zelkin-and-denise-berard/vla-le-bon-vent-here-comes-the-good-wind/world/music/track/smithsonian,nan,28.8103094139,0
Kenya,Kuria,,World,1972.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04223/FW04223_07.mp3,FW04223_107,http://www.folkways.si.edu/kuria-ikibiswi-player/ikibiswi-closed-transverse-flute/world/music/track/smithsonian,Ikibiswi,58.1031048364,1
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_17.mp3,FW08757_207,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/eppie-morrie-child-223/world/music/track/smithsonian,nan,40.9740403157,0
Canada,,,World,1963.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04312/FW04312_02.mp3,FW04312_102,http://www.folkways.si.edu/herbert-sills/o-bury-me-not-on-the-lone-prairie/world/music/track/smithsonian,nan,22.8686256946,0
Canada,British-Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04005/FW04005_07.mp3,FW04005_107,http://www.folkways.si.edu/tom-brandon/the-hobos-grave/world/music/track/smithsonian,nan,19.0302416073,0
Italy,Italian-American,Italian,World,1965.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04010/FW04010_30.mp3,FW04010_212,http://www.folkways.si.edu/marta-jacopetti/chi-bussa-alla-mia-porta/world/music/track/smithsonian,nan,18.0911413069,0
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_07.mp3,FW06803_203,http://www.folkways.si.edu/suzy-sann/outlaws-and-dance/world/music/track/smithsonian,Vocals,26.4498676869,0
Kenya,Swahili,,World,1985.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04095/FW04095_01.mp3,FW04095_101,http://www.folkways.si.edu/dancers-and-musicians-from-siyu-and-faza/goma/world/music/track/smithsonian,Drum,127.709882231,1
Canada,French Canadian,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04482/FW04482_07.mp3,FW04482_107,http://www.folkways.si.edu/royal-david/world/music/track/smithsonian,nan,13.8322766437,0
Kenya,,,World,1965.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08716/FW08716_07.mp3,FW08716_203,http://www.folkways.si.edu/david-nzomo/mathina-problems/world/music/track/smithsonian,nan,70.289202918,1
Kenya,Arab,Arabic,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR171B/ILAMTR171B_02.mp3,ILAMTR171B_102,http://www.folkways.si.edu/salim-zeydan-with-arab-men/alhamdulilla/track/smithsonian,Ensemble leader,69.7461162591,1
Canada,British-Canadian,,World,1962.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04053/FW04053_07.mp3,FW04053_202,http://www.folkways.si.edu/james-brown/the-good-old-state-of-maine/world/music/track/smithsonian,nan,28.3107255316,0
Kenya,Kuria,,World,1972.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04223/FW04223_06.mp3,FW04223_106,http://www.folkways.si.edu/kuria-ikere-player/ikere-open-transverse-flute/world/music/track/smithsonian,Ikengere,95.3695420312,1
Kenya,Gusii,,World,1972.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04223/FW04223_17.mp3,FW04223_207,http://www.folkways.si.edu/gusii-musicians/rirandi-and-orogunchara-end-blown-horn-and-side-blown-trumpet/world/music/track/smithsonian,Orogunchara,36.9283970839,0
Russia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00600/MON00600_07.mp3,MON00600_201,http://www.folkways.si.edu/yulya/suliko/world/music/track/smithsonian,nan,18.2108389966,0
Canada,French Canadian,French,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW03560/FW03560_17.mp3,FW03560_207,http://www.folkways.si.edu/jacques-labrecque/la-perdriole/world/music/track/smithsonian,nan,31.125513534,0
United States of America,,,World,1975.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00764/MON00764_04.mp3,MON00764_104,http://www.folkways.si.edu/george-abdo/raks-el-gezlan/world/music/track/smithsonian,Oud,30.9465190512,0
Kenya,,,World,1965.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08716/FW08716_05.mp3,FW08716_201,http://www.folkways.si.edu/david-nzomo/ngwatanio-unity/world/music/track/smithsonian,nan,97.3695984812,1
Canada,,,World,1963.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04312/FW04312_07.mp3,FW04312_107,http://www.folkways.si.edu/john-thomas/the-twelve-days-of-christmas-welsh/world/music/track/smithsonian,nan,27.2332097956,0
Canada,British-Canadian,,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW03505/FW03505_09.mp3,FW03505_203,http://www.folkways.si.edu/kenneth-peacock/green-shores-of-fogo/world/music/track/smithsonian,nan,32.4089163181,0
Italy,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61706/MON61706_12.mp3,MON61706_112,http://www.folkways.si.edu/dom-cortese-and-company/summertime-in-venice-tempo-destate-a-venezia/world/music/track/smithsonian,Vocals,36.9444523149,0
Kenya,Bukusu,Bukusu,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR162A/ILAMTR162A_01.mp3,ILAMTR162A_101,http://www.folkways.si.edu/maunda-waliaula-and-bukusu-men/ligari/track/smithsonian,Vocals,80.7191638957,1
Canada,British-Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04005/FW04005_18.mp3,FW04005_207,http://www.folkways.si.edu/tom-brandon/the-bold-privateer/world/music/track/smithsonian,nan,18.9162406401,0
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_18.mp3,FW08757_208,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/the-reel-of-stumpie/world/music/track/smithsonian,nan,18.7885072456,0
United Kingdom,Scottish,English,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00365/MON00365_11.mp3,MON00365_203,http://www.folkways.si.edu/robin-hall-and-jimmie-macgregor/the-recruiting-sergeant/world/music/track/smithsonian,Vocals,23.73310144,0
Canada,British-Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04005/FW04005_10.mp3,FW04005_110,http://www.folkways.si.edu/martin-mcmanus/sally-greer/world/music/track/smithsonian,nan,24.7113464741,0
Hungary,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04000/FW04000_03.mp3,FW04000_103,http://www.folkways.si.edu/beautiful-is-the-spring/world/music/track/smithsonian,nan,22.7346967483,0
Canada,,,World,1962.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08972/FW08972_12.mp3,FW08972_204,http://www.folkways.si.edu/memorial-song/world/music/track/smithsonian,Vocals,27.7877502368,0
Poland,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61409/MON61409_08.mp3,MON61409_108,http://www.folkways.si.edu/bolek-zawadzki/zimowa-piosenka-winter-song/world/music/track/smithsonian,Vocals,29.0882162192,0
United Kingdom,Scottish,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON01776/MON01776_13.mp3,MON01776_204,http://www.folkways.si.edu/royal-marines-and-the-black-watch/medley-jean-hastie/world/music/track/smithsonian,Drum,91.5729003407,1
United Kingdom,Scottish,English,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06927/FW06927_08.mp3,FW06927_204,http://www.folkways.si.edu/rory-and-alex-mcewen/willies-fair-child-no-215/world/music/track/smithsonian,Vocals,23.2020810446,0
Poland,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61409/MON61409_09.mp3,MON61409_109,http://www.folkways.si.edu/bolek-zawadzki/wio-koniku-giddy-yap/world/music/track/smithsonian,Vocals,21.0398829501,0
Uganda,Ganda,Ganda,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR138/ILAMTR138_07.mp3,ILAMTR138_107,http://www.folkways.si.edu/temusewo-mukasa/omusango-gwenyama-tegugwa/track/smithsonian,Vocals,52.3861566758,1
United Kingdom,Scottish,English,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00365/MON00365_14.mp3,MON00365_206,http://www.folkways.si.edu/robin-hall-and-jimmie-macgregor/the-ould-triangle/world/music/track/smithsonian,Vocals,29.6808455245,1
Hungary,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00368/MON00368_03.mp3,MON00368_103,http://www.folkways.si.edu/hungarian-state-folk-ensemble/gulyas-bottle-dance/world/music/track/smithsonian,nan,20.533503041,0
Italy,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61706/MON61706_10.mp3,MON61706_110,http://www.folkways.si.edu/dom-cortese-and-company/souvenir-ditalie/world/music/track/smithsonian,Vocals,109.717821445,1
Canada,Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08771/FW08771_07.mp3,FW08771_107,http://www.folkways.si.edu/alan-mills/jack-hinks/world/music/track/smithsonian,Vocals,28.3560470691,0
United Kingdom,Scottish,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON01776/MON01776_01.mp3,MON01776_101,http://www.folkways.si.edu/royal-marines-and-the-black-watch/sousa-jp-stars-and-stripes-forever/world/music/track/smithsonian,Drum,36.8925130081,1
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_12.mp3,FW08757_202,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/johnnie-cope/world/music/track/smithsonian,nan,21.2283508869,0
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_13.mp3,FW33548_205,http://www.folkways.si.edu/alasdair-clayre/old-rich-worlds-daughter/world/music/track/smithsonian,nan,25.354190825,0
Uganda,Konjo,Konjo (Uganda),World,1950.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR131B/ILAMTR131B_02.mp3,ILAMTR131B_102,http://www.folkways.si.edu/bukombe-mukirane/omubaliya/track/smithsonian,"Drum, conical",53.0671366251,1
United States of America,Anglo-American,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08847/FW08847_01.mp3,FW08847_101,http://www.folkways.si.edu/richard-carlin/the-poppy-leaf/the-derry-medley/world/music/track/smithsonian,Piano,42.0297559882,1
Uganda,,,World,2007.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40537/SFW40537_12.mp3,SFW40537_110,http://www.folkways.si.edu/kibaale-village-embaire-ensemble/olumbe-lwamala-abantu-death-killed-all-the-people/world/music/track/smithsonian,nan,18.2967300564,0
United Kingdom,Scottish,English,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06927/FW06927_09.mp3,FW06927_205,http://www.folkways.si.edu/rory-and-alex-mcewen/binnorie-child-no-10/world/music/track/smithsonian,Vocals,32.0686595618,0
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_15.mp3,FW33548_207,http://www.folkways.si.edu/alasdair-clayre/mass-production-song/world/music/track/smithsonian,nan,22.036854021,0
Russia,Tuvan|Central-Asian,Tuvan,World,1990.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40017/SFW40017_01.mp3,SFW40017_101,http://www.folkways.si.edu/fedor-tau/steppe-kargiraa/world/music/track/smithsonian,Vocals,150.909721666,1
Canada,French Canadian,French,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW03560/FW03560_15.mp3,FW03560_205,http://www.folkways.si.edu/jacques-labrecque/au-chant-de-lalouette/world/music/track/smithsonian,nan,33.3834727468,0
United Kingdom,Scottish,English,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00365/MON00365_13.mp3,MON00365_205,http://www.folkways.si.edu/robin-hall-and-jimmie-macgregor/gin-i-were-where-the-gaudie-runs/world/music/track/smithsonian,Vocals,23.109764268,0
Italy,,,World,1972.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04265/FW04265_20.mp3,FW04265_210,http://www.folkways.si.edu/artisans-performing-a-play/zesa-viola/world/music/track/smithsonian,nan,37.432532968,0
United Kingdom,Scottish,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON01776/MON01776_07.mp3,MON01776_107,http://www.folkways.si.edu/royal-marines-and-the-black-watch/sunset/world/music/track/smithsonian,Drum,32.491318386,0
Hungary,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04000/FW04000_15.mp3,FW04000_115,http://www.folkways.si.edu/male-hungarian-singer/i-am-a-prisoner/world/music/track/smithsonian,nan,21.0665160616,0
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_08.mp3,FW08757_108,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/tail-toddle/world/music/track/smithsonian,nan,51.3779355059,1
Canada,,,World,1953.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06831/FW06831_04.mp3,FW06831_104,http://www.folkways.si.edu/alan-mills/time-to-be-made-a-wife/world/music/track/smithsonian,Vocals,35.5530764791,0
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_12.mp3,FW33548_204,http://www.folkways.si.edu/alasdair-clayre/snow/world/music/track/smithsonian,nan,39.4572900267,0
United Kingdom,,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08845/FW08845_11.mp3,FW08845_205,http://www.folkways.si.edu/the-fayre-four-sisters/speak-easy/world/music/track/smithsonian,Concertina,54.2107731462,1
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_02.mp3,FW08757_102,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/the-highland-muster-roll/world/music/track/smithsonian,nan,38.4160431964,0
Canada,,,World,1962.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08972/FW08972_09.mp3,FW08972_201,http://www.folkways.si.edu/declaration-of-faiths/world/music/track/smithsonian,Vocals,21.9310087707,0
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_06.mp3,FW08757_106,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/roys-wife/world/music/track/smithsonian,nan,30.9662394152,0
Papua New Guinea,Bosavi,,World,2001.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40487/SFW40487_3_09.mp3,SFW40487_309,http://www.folkways.si.edu/amini-and-mei/ceremonial-koluba-song-3/world/music/track/smithsonian,nan,39.5441237878,1
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_01.mp3,FW06803_101,http://www.folkways.si.edu/suzy-sann/shepherd-songs/world/music/track/smithsonian,Vocals,28.9127874959,0
Poland,,,World,1954.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06848/FW06848_10.mp3,FW06848_206,http://www.folkways.si.edu/krosno-ensemble/the-chestnut-horse/world/music/track/smithsonian,nan,26.8993211502,0
Canada,French Canadian,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04482/FW04482_02.mp3,FW04482_102,http://www.folkways.si.edu/bidou/world/music/track/smithsonian,nan,12.9405418846,0
United Kingdom,,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08845/FW08845_06.mp3,FW08845_106,http://www.folkways.si.edu/the-fayre-four-sisters/russian-fantasy/world/music/track/smithsonian,Concertina,40.8219624956,1
Canada,,,World,1983.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FWRF120/FWRF120_01.mp3,FWRF120_101,http://www.folkways.si.edu/jean-marie-and-lise-verret/le-piquet-the-fence-post/world/music/track/smithsonian,Fiddle,30.082261184,1
United Kingdom,Scottish,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON01776/MON01776_09.mp3,MON01776_109,http://www.folkways.si.edu/royal-marines-and-the-black-watch/god-bless-america/world/music/track/smithsonian,Drum,91.9274130209,1
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_01.mp3,FW33548_101,http://www.folkways.si.edu/alasdair-clayre/a-gentle-easy-flowing-river/world/music/track/smithsonian,nan,27.5124294001,0
United Kingdom,British,English,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06823/FW06823_10.mp3,FW06823_202,http://www.folkways.si.edu/wallace-house/the-eddystone-light/celtic-world/music/track/smithsonian,Vocals,36.9242861932,0
United Kingdom,British,English,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06823/FW06823_02.mp3,FW06823_102,http://www.folkways.si.edu/wallace-house/on-ilkley-moor-bar-tat/celtic-world/music/track/smithsonian,Vocals,38.1969379195,0
Canada,French Canadian,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06918/FW06918_15.mp3,FW06918_207,http://www.folkways.si.edu/helene-baillargeon-and-alan-mills/le-petit-mousse/world/music/track/smithsonian,Vocals,27.9165541241,0
Italy,,,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04520/FW04520_20.mp3,FW04520_305,http://www.folkways.si.edu/ballo-sardo/world/music/track/smithsonian,Guitar,43.9460506497,1
United Kingdom,,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08845/FW08845_09.mp3,FW08845_203,http://www.folkways.si.edu/alfred-edwards/waltz-impromptu/world/music/track/smithsonian,Concertina,96.2761912651,1
Italy,,,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04520/FW04520_22.mp3,FW04520_401,http://www.folkways.si.edu/la-pierina-albanese-song/world/music/track/smithsonian,Guitar,35.4085483203,1
Canada,,,World,1962.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08972/FW08972_08.mp3,FW08972_108,http://www.folkways.si.edu/high-went-up-the-star-in-the-sky/world/music/track/smithsonian,Vocals,22.4310994975,0
United Kingdom,Scottish,English,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08757/FW08757_01.mp3,FW08757_101,http://www.folkways.si.edu/ewan-maccoll-and-peggy-seeger/the-barnyards-of-delgaty/world/music/track/smithsonian,nan,33.912219092,0
Hungary,Romani,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00418/MON00418_04.mp3,MON00418_104,http://www.folkways.si.edu/rajko/sarkantyus-verbunk-recruiting-dance/world/music/track/smithsonian,nan,32.7890551188,0
United Kingdom,British,English,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06823/FW06823_09.mp3,FW06823_201,http://www.folkways.si.edu/wallace-house/gently-johnny-my-jingalo/celtic-world/music/track/smithsonian,Vocals,20.7382132251,0
Poland,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00605/MON00605_02.mp3,MON00605_102,http://www.folkways.si.edu/leszek-kobylinski-with-jan-wojnar-and-his-ensemble/when-the-white-lilacs-bloom-a-gdy-zakwitna-biale/world/music/track/smithsonian,nan,37.2468495115,0
Canada,French Canadian,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06918/FW06918_11.mp3,FW06918_203,http://www.folkways.si.edu/helene-baillargeon-and-alan-mills/le-retour-du-marin/world/music/track/smithsonian,Vocals,21.1576425097,0
United States of America,Anglo-American,English,World,1980.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW37321/FW37321_10.mp3,FW37321_204,http://www.folkways.si.edu/morrigan/the-foxhunters/world/music/track/smithsonian,nan,30.9031520922,0
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_04.mp3,FW33548_104,http://www.folkways.si.edu/alasdair-clayre/lullaby-and-come-afloat/world/music/track/smithsonian,nan,37.0835173125,1
United Kingdom,,,World,1978.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW33548/FW33548_05.mp3,FW33548_105,http://www.folkways.si.edu/alasdair-clayre/spring-song/world/music/track/smithsonian,nan,27.4253672744,0
United Kingdom,British,English,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06823/FW06823_08.mp3,FW06823_108,http://www.folkways.si.edu/wallace-house/tally-ho-my-fine-sportsmen/celtic-world/music/track/smithsonian,Vocals,34.4291831582,0
Hungary,,,World,1985.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04035/FW04035_04.mp3,FW04035_201,http://www.folkways.si.edu/pista-didi-jozsef-kozak-and-salamon-domotor/rig-ntja-the-song-of-rig/world/music/track/smithsonian,Violin,129.613784231,1
Canada,British-Canadian,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04005/FW04005_20.mp3,FW04005_209,http://www.folkways.si.edu/william-towns/what-is-the-life-of-a-man-any-more-than-the-leaves/world/music/track/smithsonian,nan,21.8246335387,0
Hungary,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04000/FW04000_12.mp3,FW04000_112,http://www.folkways.si.edu/hungarian-bagpipers/instrumental/world/music/track/smithsonian,nan,198.955887328,1
United Kingdom,Scottish,English,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00407/MON00407_14.mp3,MON00407_207,http://www.folkways.si.edu/the-galliards/birlinn-ghoraidh-chrobhain-goraidh-chrobhains-gallery/world/music/track/smithsonian,Vocals,21.1268946901,0
Canada,,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06821/FW06821_10.mp3,FW06821_204,http://www.folkways.si.edu/wade-hemsworth/the-brides-lament/world/music/track/smithsonian,Vocals,26.1277901918,0
Russia,,,World,1990.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61590/MON61590_20.mp3,MON61590_120,http://www.folkways.si.edu/mark-berness/beloved-village/world/music/track/smithsonian,nan,63.8088065997,0
Canada,,,World,1953.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06831/FW06831_07.mp3,FW06831_201,http://www.folkways.si.edu/alan-mills/a-great-big-sea-hove-in-long-beach/world/music/track/smithsonian,Vocals,27.2655541267,0
Italy,Italian-American,Italian,World,1965.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04010/FW04010_35.mp3,FW04010_217,http://www.folkways.si.edu/anita-macor-and-nives-dosso/la-mi-morosa-le-veccia/world/music/track/smithsonian,nan,36.892939743,0
Canada,French Canadian,,World,1956.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06951/FW06951_08.mp3,FW06951_203,http://www.folkways.si.edu/jean-caragnan-aldor-morin-edgar-morin-and-bob-hill/reel-carre/world/music/track/smithsonian,nan,18.3461337159,0
Philippines,Tiruray,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04536/FW04536_2_18.mp3,FW04536_218,http://www.folkways.si.edu/two-tiruray-women/tangkel/world/music/track/smithsonian,Togo (Drum),95.3903763959,1
Canada,,,World,1960.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08764/FW08764_07.mp3,FW08764_202,http://www.folkways.si.edu/loewen-orchestra/when-the-iceworms-nest-again/world/music/track/smithsonian,nan,39.6839005575,1
Russia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00606/MON00606_09.mp3,MON00606_203,http://www.folkways.si.edu/charles-shirley-ensemble/the-volga-flows/world/music/track/smithsonian,nan,26.302318701,0
United States of America,,English,World,1963.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08773/FW08773_12.mp3,FW08773_205,http://www.folkways.si.edu/the-pennywhistlers/cotton-mill-girls/world/music/track/smithsonian,Vocals,38.2000684209,0
Russia,Tuvan,,World,1999.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40452/SFW40452_08.mp3,SFW40452_108,http://www.folkways.si.edu/anatoli-kuular/xomuz-jews-harp-imitating-water/world/music/track/smithsonian,Jew&#39;s Harp,107.758631835,1
Canada,,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06821/FW06821_07.mp3,FW06821_201,http://www.folkways.si.edu/wade-hemsworth/vla-lbon-vent-voila-le-bon-vent/world/music/track/smithsonian,Vocals,22.339712764,0
United States of America,,English,World,1963.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08773/FW08773_13.mp3,FW08773_206,http://www.folkways.si.edu/the-pennywhistlers/tudora/world/music/track/smithsonian,Vocals,18.7723429398,0
South Africa,Kgatla,Tswana,World,1959.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR116/ILAMTR116_07.mp3,ILAMTR116_107,http://www.folkways.si.edu/mapidio-elisabeth-mothulwe-and-30-kgatla-women/owe-owe-matebeleng!/track/smithsonian,Ensemble leader,51.8018636999,1
United States of America,,,World,2000.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40457/SFW40457_06.mp3,SFW40457_106,http://www.folkways.si.edu/wawali-bonane-with-yoka-nzenze/wumba-wumba/world/music/track/smithsonian,Vocals,38.659916438,0
United Kingdom,,,World,1964.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08719/FW08719_01.mp3,FW08719_101,http://www.folkways.si.edu/paul-gwynne-phillips/johnsons-motor-car/world/music/track/smithsonian,Banjo,21.9394026635,0
Canada,French Canadian,,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06929/FW06929_10.mp3,FW06929_203,http://www.folkways.si.edu/alan-mills/cest-laviron/world/music/track/smithsonian,Vocals,19.776034064,0
Ukraine,,,World,1958.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06504/FW06504_12.mp3,FW06504_206,http://www.folkways.si.edu/lezginka/world/music/track/smithsonian,nan,76.4959975673,1
