Country,Culture,Language,Genre_Album,Year,SampleAudio,CatalogNumber,songurls_Album,Instrument,Distance,Outlier
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_17.mp3,MON71321_117,http://www.folkways.si.edu/levon-madoyan-hachik-khachatrian-vladimir-egorian/derbent/world/music/track/smithsonian,Duduk,38.3373157391,1
Greece,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00492/MON00492_09.mp3,MON00492_203,http://www.folkways.si.edu/jimmy-linardos/peste-mou-pou-nahe-payi/world/music/track/smithsonian,Vocals,57.4296123541,1
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_16.mp3,MON71352_116,http://www.folkways.si.edu/armenian-song-dance-ensemble/akhourian-bar-dance-of-akhourian/world/music/track/smithsonian,Duduk,46.6516106984,1
Uganda,Ganda,Ganda,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR139B/ILAMTR139B_03.mp3,ILAMTR139B_103,http://www.folkways.si.edu/ludovico-mugerwa-and-ganda-women/nanyini-kayu-bwali-da/track/smithsonian,Vocals,68.8505895399,0
South Africa,Mpondo,Xhosa,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR031/ILAMTR031_02.mp3,ILAMTR031_102,http://www.folkways.si.edu/khotso-and-group-of-mpondo-men-and-women/somagwaza/track/smithsonian,Ensemble leader,36.5808064684,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00408/MON00408_03.mp3,MON00408_103,http://www.folkways.si.edu/manuel-de-almeida-and-mariana-silva/fui-revivir-o-passado-i-went-back-to-relive-the-past/world/music/track/smithsonian,nan,30.5170162876,0
Greece,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00771/MON00771_08.mp3,MON00771_202,http://www.folkways.si.edu/chris-kalogerson-ensemble/maharayias/world/music/track/smithsonian,nan,52.6961261823,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_05.mp3,MON71352_105,http://www.folkways.si.edu/armenian-song-dance-ensemble/eraz-a-dream/world/music/track/smithsonian,Duduk,26.8528725789,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_01.mp3,MON71321_101,http://www.folkways.si.edu/armenian-state-chorus/kuzhn-ara/gna-gna/world/music/track/smithsonian,Duduk,39.4690470386,1
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_10.mp3,MON71352_110,http://www.folkways.si.edu/armenian-song-dance-ensemble/sirerg-love-song-2/world/music/track/smithsonian,Vocals,28.2531976371,0
Hungary,,,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06803/FW06803_06.mp3,FW06803_202,http://www.folkways.si.edu/suzy-sann/spinning-songs/world/music/track/smithsonian,Vocals,23.6237235539,0
Nigeria,Bura,,World,1971.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04532/FW04532_1_01.mp3,FW04532_101,http://www.folkways.si.edu/music-of-the-bura-people-bura-praise-singing/world/music/track/smithsonian,Xylophone,106.956230128,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00457/MON00457_09.mp3,MON00457_202,http://www.folkways.si.edu/the-cosmopolitan-chorale/aravod-morning/world/music/track/smithsonian,nan,17.9779315199,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00421/MON00421_05.mp3,MON00421_105,http://www.folkways.si.edu/valentina-felix/meninas-vamos-o-vira-girls-come-and-dance-the-vira/world/music/track/smithsonian,nan,37.9660623722,1
Japan,,,World,1952.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04429/FW04429_09.mp3,FW04429_201,http://www.folkways.si.edu/ishiya-bushi/world/music/track/smithsonian,nan,19.3048721048,0
Greece,,,World,1989.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61722/MON61722_02.mp3,MON61722_102,http://www.folkways.si.edu/elenis-and-athanasiou/minore-taxim/world/music/track/smithsonian,Bouzouki,59.0244569967,0
Russia,,,World,1992.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71597/MON71597_05.mp3,MON71597_105,http://www.folkways.si.edu/yulya/silently-tishina/world/music/track/smithsonian,nan,21.6742072644,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_13.mp3,MON00352_113,http://www.folkways.si.edu/armenian-song-dance-ensemble/es-gisher-lusnak-gisher-this-night-moonlit-night/ervum-em-my-heart-is-aflame-medley/world/music/track/smithsonian,Duduk,48.3837303569,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_12.mp3,MON00352_112,http://www.folkways.si.edu/armenian-song-dance-ensemble/kapel-es-gisoved-she-tied-her-braids/world/music/track/smithsonian,Duduk,21.8294689946,0
Armenia,Armenian-American,,World,1993.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40414/SFW40414_08.mp3,SFW40414_108,http://www.folkways.si.edu/richard-hagopian/rast-saz-semai/world/music/track/smithsonian,Oud,25.2132027289,0
Ukraine,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71446/MON71446_02.mp3,MON71446_102,http://www.folkways.si.edu/michael-skorr-and-his-ukrainian-ensemble/harbuz-biley/world/music/track/smithsonian,Accordion,48.0954204612,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00815/MON00815_09.mp3,MON00815_204,http://www.folkways.si.edu/liz-sarian/tou-inz-hamar/world/music/track/smithsonian,nan,16.7639298514,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00425/MON00425_02.mp3,MON00425_102,http://www.folkways.si.edu/fernanda-maria/uma-historia-a-story/world/music/track/smithsonian,nan,28.3554239413,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_21.mp3,MON71321_121,http://www.folkways.si.edu/armenian-orchestra-of-folk-instruments/inch-kamenas-ingerid/world/music/track/smithsonian,Duduk,24.6498353628,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00815/MON00815_04.mp3,MON00815_104,http://www.folkways.si.edu/liz-sarian/hayasdani-artchik/world/music/track/smithsonian,nan,13.9185846096,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_07.mp3,MON00352_107,http://www.folkways.si.edu/armenian-song-dance-ensemble/asa-inch-anem-tell-me-what-to-do/world/music/track/smithsonian,Duduk,32.6698326037,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00457/MON00457_12.mp3,MON00457_205,http://www.folkways.si.edu/the-cosmopolitan-chorale/ooreny-the-willow/world/music/track/smithsonian,nan,23.7539029051,0
Greece,Cretan,Greek,World,2000.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40437/SFW40437_09.mp3,SFW40437_109,http://www.folkways.si.edu/kostantinos-faraggitakis/tzengas-mandinadhes-on-karagioules-syrtos/world/music/track/smithsonian,Lyra,30.2899066835,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_24.mp3,MON71321_124,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-s-dzherbashian/donagan-bar/world/music/track/smithsonian,Duduk,28.6481365582,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_02.mp3,MON71321_102,http://www.folkways.si.edu/armenian-song-dance-ensemble/ichav-marmand-irikun/tzakhasari-kanach-landjin/world/music/track/smithsonian,Duduk,21.597736246,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00396/MON00396_08.mp3,MON00396_202,http://www.folkways.si.edu/fernanda-maria/pregoes-de-lisboa-the-street-calls-of-lisbon/world/music/track/smithsonian,nan,44.4962123052,0
Greece,,,World,2002.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW50401/SFW50401_03.mp3,SFW50401_103,http://www.folkways.si.edu/zissis-hindzos-aristidis-dramalis-and-yiannis-dramalis/new-year-at-sohos/world/music/track/smithsonian,nan,325.182318029,1
Greece,,,World,2002.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW50401/SFW50401_04.mp3,SFW50401_104,http://www.folkways.si.edu/vendors-boys-and-men-at-the-arapides-festival/arapides-festival-at-nikisiani/world/music/track/smithsonian,nan,163.661619689,1
Spain,,,World,1955.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW06920/FW06920_06.mp3,FW06920_203,http://www.folkways.si.edu/mario-escudero/sarracena/world/music/track/smithsonian,Guitar,46.6096330323,1
Greece,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00492/MON00492_07.mp3,MON00492_201,http://www.folkways.si.edu/jimmy-linardos/sto-kalo-sto-kalo/world/music/track/smithsonian,Vocals,19.9798985807,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_16.mp3,MON71321_116,http://www.folkways.si.edu/armenian-song-dance-ensemble/hars-em-gnum/world/music/track/smithsonian,Duduk,36.4040745966,0
Portugal,,,World,1962.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW04538/FW04538_2_13.mp3,FW04538_403,http://www.folkways.si.edu/ana-custodia/tres-cavalheiros-os-religious-ballad/world/music/track/smithsonian,nan,16.4570875881,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_09.mp3,MON71352_109,http://www.folkways.si.edu/armenian-song-dance-ensemble/gutani-yerg-song-of-the-harvester-2/world/music/track/smithsonian,Conductor,32.2192771045,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_06.mp3,MON00352_106,http://www.folkways.si.edu/armenian-song-dance-ensemble/lusnak-anush-moonlit-night/world/music/track/smithsonian,Duduk,30.7367169066,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61452/MON61452_02.mp3,MON61452_102,http://www.folkways.si.edu/hachig-kazarian-ensemble/hars-yem-peroom/world/music/track/smithsonian,Piano,38.6510800253,1
Armenia,Armenian-American,,World,1993.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40414/SFW40414_13.mp3,SFW40414_113,http://www.folkways.si.edu/richard-hagopian/seghane-e-arad/world/music/track/smithsonian,Oud,26.0563902903,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71321/MON71321_03.mp3,MON71321_103,http://www.folkways.si.edu/armenian-radio-orchestra-of-folk-instruments-conducted-by-s-dzherbashian/narine-bar/world/music/track/smithsonian,Duduk,38.4215313906,1
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00352/MON00352_01.mp3,MON00352_101,http://www.folkways.si.edu/armenian-song-dance-ensemble/kapama-stewing-pot/world/music/track/smithsonian,Duduk,30.7569127692,0
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_01.mp3,MON71352_101,http://www.folkways.si.edu/armenian-song-dance-ensemble/sirem-ki-to-love/world/music/track/smithsonian,Conductor,17.2490543878,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00815/MON00815_03.mp3,MON00815_103,http://www.folkways.si.edu/liz-sarian/aravodian-archalouys/world/music/track/smithsonian,nan,46.2812410898,1
Armenia,Armenian,Armenian,World,1995.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71352/MON71352_07.mp3,MON71352_107,http://www.folkways.si.edu/armenian-song-dance-ensemble/horovel/world/music/track/smithsonian,Vocals,32.2763022714,0
Armenia,Armenian-American,,World,1976.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71775/MON71775_10.mp3,MON71775_110,http://www.folkways.si.edu/john-vartan-ensemble/asa-inch-anem/world/music/track/smithsonian,Guitar,18.9487527308,0
Armenia,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61452/MON61452_05.mp3,MON61452_105,http://www.folkways.si.edu/hachig-kazarian-ensemble/daldala-satchme/world/music/track/smithsonian,Piano,48.7435819582,1
